"call_id","date_made","call_text","domain","tags","conviction","time_horizon","status","resolution_date","resolution_note","source_url","source_title","related_calls","pre_consensus_score","confidence_band"
"2023-004","2023-11-23","The 2024 global election cycle — with votes in the US, EU, India, UK, and numerous other major democracies — would be the single most consequential electoral period in modern history. Voters choosing between reformers and the anti-establishment wave would set the direction of the world for a decade.","Geopolitics","elections|democracy|2024|geopolitics","","by end-2024","Resolved-Hit","","2024: US, EU Parliament, UK, India elections all shifted political landscape dramatically.","https://www.linkedin.com/pulse/welcome-new-dark-ages-christophe-van-eysendyck-zyrie/","Welcome to the New Dark Ages","","FALSE",""
"2023-005","2023-12-29","China's population had already peaked and structural long-run decline was now locked in — the country faced losing roughly half its population over the next 30–40 years. Unlike EU demographic problems that could theoretically be addressed with managed immigration, China's demographic trajectory was essentially irreversible.","Geopolitics","China|demographics|population|decline","","30–40 year horizon (structural)","Resolved-Hit","","China reported population decline every year from 2022; demographic trajectory confirmed locked in.","https://www.linkedin.com/pulse/migration-period-redux-christophe-van-eysendyck-1fpje/","The Migration Period — Redux","","FALSE",""
"2024-001","2024-05-13","Every Belgian party's election program, as calculated by the Federal Planning Bureau, would widen the budget deficit by 4–8% by 2029 relative to the Maastricht norm. Like Liz Truss before them, Belgian politicians looked at the mini-budget disaster and treated it as a shining example rather than a warning. The country would become significantly poorer no matter who won.","Politics-EU","Belgium|election|fiscal|deficit","","by end-2024","Resolved-Hit","","All major Belgian parties' 2024 programs widened deficit; country in fiscal crisis by 2026.","https://www.linkedin.com/pulse/election-time-sharks-blood-budgets-christophe-van-eysendyck-at5bf/","Election Time: Sharks, Blood and Budgets","","TRUE",""
"2024-002","2024-08-15","Made the Nvidia buy recommendation to clients when it first attracted renewed attention after the crypto mining boom subsided — and was laughed out of a meeting for it. The thesis: Nvidia's GPU architecture was uniquely positioned to power the coming AI revolution. By 2024, the call had been spectacularly validated, with Nvidia becoming one of the most valuable companies on earth.","Markets","Nvidia|AI|semiconductors|markets","","ongoing / multi-year","Resolved-Hit","","Nvidia became one of the most valuable companies on earth by 2024; call validated spectacularly.","https://www.linkedin.com/pulse/fooled-volatility-christophe-van-eysendyck-wlj4e/","Fooled by Volatility?","","TRUE",""
"2024-003","2024-08-15","Despite Magnificent Seven dominance of headline returns, the safest fundamental bets of 2024 were healthcare and financials: averaging 9–10% price returns with minimal downside volatility. Proof that buy-and-hold fundamental investing still works even in years dominated by three-trillion-dollar gorillas.","Markets","healthcare|financials|equities|returns","","by end-2024","Resolved-Hit","","Healthcare and financials averaged 9–10% price returns in 2024 with minimal downside volatility.","https://www.linkedin.com/pulse/fooled-volatility-christophe-van-eysendyck-wlj4e/","Fooled by Volatility?","","FALSE",""
"2024-004","2024-12-03","French government bond spreads versus Germany would widen further in 2025 — already at their widest since the GFC when this was written. Le Pen's political campaigns to topple the government, combined with chronic fiscal irresponsibility, would intensify the pressure. New elections would only add uncertainty.","Macro","France|bonds|OAT|Bund|spread|fiscal","","through 2025","Resolved-Hit","","French OAT-Bund spread widened to widest since GFC; France lost AAA at S&P in 2024.","https://www.linkedin.com/pulse/2025-silly-predictions-christophe-van-eysendyck-ce2ke/","2025: Silly Predictions","","TRUE",""
"2024-005","2024-12-03","Trump's return to the White House would bring sweeping tariffs against China and potentially the EU, triggering retaliatory responses and a broader restructuring of global trade flows along political rather than economic lines.","Geopolitics","Trump|tariffs|trade war|China|EU","","through 2025","Resolved-Hit","","Trump's 2025 tariff package exceeded expectations; retaliatory measures from China, EU, Canada.","https://www.linkedin.com/pulse/2025-silly-predictions-christophe-van-eysendyck-ce2ke/","2025: Silly Predictions","","FALSE",""
"2024-006","2024-12-03","Germany — theoretically capable of being Europe's growth engine — would choose the status quo and thus irrelevance, refusing to stimulate its economy or provide credible continental leadership amid a collapsing government coalition.","Politics-EU","Germany|stagnation|EU|leadership","","through 2025","Resolved-Hit","","Germany GDP contracted in 2024; no fiscal stimulus; AfD surged; CDU-led coalition inherited stagnation.","https://www.linkedin.com/pulse/2025-silly-predictions-christophe-van-eysendyck-ce2ke/","2025: Silly Predictions","","FALSE",""
"2024-007","2024-12-03","A negotiated settlement would land in Q2/Q3 2025 after another pointless summer offensive. Putin couldn't sustain the economic and military costs of fighting on multiple fronts. This call was wrong — despite Riyadh talks beginning, no formal ceasefire was in place by end of 2025.","Geopolitics","Ukraine|ceasefire|Russia|peace","","by Q3 2025","Resolved-Miss","","WRONG: No meaningful ceasefire by Q3 2025; Riyadh talks barely began by year-end.","https://www.linkedin.com/pulse/2025-silly-predictions-christophe-van-eysendyck-ce2ke/","2025: Silly Predictions","","TRUE",""
"2024-008","2024-12-03","Xi would not annex Taiwan in 2025. Despite massive domestic economic pressures — historic youth unemployment, demographic collapse, real estate crisis — the PLA was not sufficiently ready, and there was nothing to gain militarily at that stage. The pressure campaign would continue but stop short of invasion.","Geopolitics","Taiwan|China|invasion|PLA","","through 2025","Resolved-Hit","","PLA conducted pressure exercises but no invasion; 2025 assessment: still not ready.","https://www.linkedin.com/pulse/2025-silly-predictions-christophe-van-eysendyck-ce2ke/","2025: Silly Predictions","","FALSE",""
"2025-001","2025-01-15","France's worsening debt-to-GDP ratio, combined with political paralysis following snap elections, would push the Fifth Republic toward a constitutional and financial credibility crisis. Bond spreads versus Germany would widen materially.","Politics-EU","France|debt|fiscal|OAT|Bund|spread|politics","★★","through 2025","Resolved-Hit","","France spreads hit 90bp over Germany; constitutional crisis averted but government paralysis continued.","https://fromtheledge.substack.com/p/2026-not-so-silly-predictions-part","2026: Not-so-silly predictions, part I","","FALSE",""
"2025-002","2025-01-15","Right-wing populist parties would gain power or expand influence across Germany, Hungary, Austria, Netherlands, and the UK as traditional centrist parties collapse amid economic anxiety, migration pressures, and loss of institutional trust.","Politics-EU","EU|populism|right-wing|elections|Germany|France","★★","through 2025","Resolved-Hit","","FPÖ won Austrian election; AfD came 2nd in Germany; populists gained in Poland, Netherlands.","https://fromtheledge.substack.com/p/2026-not-so-silly-predictions-part","2026: Not-so-silly predictions, part I","","FALSE",""
"2025-003","2025-01-15","US equity markets would significantly outperform their European counterparts throughout 2025, driven by the AI investment boom, stronger economic fundamentals, and corporate earnings resilience.","Markets","US|equities|AI|markets|S&P","★","through 2025","Resolved-Hit","","S&P 500 up ~25% in 2025; European indices underperformed materially.","https://fromtheledge.substack.com/p/2026-not-so-silly-predictions-part","2026: Not-so-silly predictions, part I","","FALSE",""
"2025-004","2025-01-15","The Gaza siege would persist throughout 2025 with catastrophic displacement and casualty figures reaching 90%+ of the population. No meaningful or durable ceasefire would materialize despite international pressure.","Geopolitics","Gaza|ceasefire|Middle East|Israel","★","through 2025","Resolved-Hit","","Gaza siege continued; 90%+ displacement; no durable ceasefire despite multiple short pauses.","https://fromtheledge.substack.com/p/2026-not-so-silly-predictions-part","2026: Not-so-silly predictions, part I","","FALSE",""
"2025-005","2025-01-15","Beijing would maintain an aggressive pressure campaign against Taiwan — military exercises, economic coercion, and diplomatic isolation — without escalating to direct armed conflict.","Geopolitics","Taiwan|China|coercion|PLA|geopolitics","★★","through 2025","Resolved-Hit","","China conducted major exercises; ADIZ incursions; no kinetic action.","https://fromtheledge.substack.com/p/2026-not-so-silly-predictions-part","2026: Not-so-silly predictions, part I","","FALSE",""
"2025-006","2025-01-15","The Assad regime's structural vulnerabilities — economic collapse, Russian forces depleted in Ukraine, exhausted military — would culminate in a complete regime collapse. Predicted before the fall became consensus.","Geopolitics","Syria|Assad|regime|collapse","★★","through 2025","Resolved-Hit","","Assad regime fell December 8, 2024; called before the HTS offensive completed.","https://fromtheledge.substack.com/p/2026-not-so-silly-predictions-part","2026: Not-so-silly predictions, part I","","TRUE",""
"2025-007","2025-01-15","A negotiated ceasefire would largely be in place by end of 2025. This call did not materialise — talks had barely begun and peace remained a very long way off by year-end.","Geopolitics","Ukraine|ceasefire|Russia|peace","★★","by end-2025","Resolved-Miss","","WRONG: No ceasefire by end-2025; talks began in Riyadh but no formal settlement.","https://fromtheledge.substack.com/p/2026-not-so-silly-predictions-part","2026: Not-so-silly predictions, part I","","TRUE",""
"2025-008","2025-02-18","The EU would have zero seat at the Ukraine peace table, because it had provided only a fraction of US military and financial support while simultaneously buying Russian gas. Peace talks would happen without European participation — confirmed when the US and Russia met in Riyadh, with Europe explicitly excluded.","Geopolitics","EU|Ukraine|peace|Riyadh|geopolitics","★★","by mid-2025","Resolved-Hit","","EU excluded from Riyadh talks; US-Russia bilateral format confirmed; EU side-lined.","https://www.linkedin.com/pulse/parallax-conjecture-christophe-van-eysendyck-yqnre/","The Parallax Conjecture","","TRUE",""
"2026-001","2025-12-31","Oil prices remain suppressed due to structural oversupply and weak global demand. Russia requires $65–70/barrel to balance its budget but sells at ~$62/barrel — a slow fiscal bleed that constrains its war economy.","Macro","oil|OPEC|Russia|oversupply|fiscal","★","through 2026","Open","","","https://fromtheledge.substack.com/p/2026-not-so-silly-predictions-pt","2026: Not-so-silly predictions, pt. II","","TRUE",""
"2026-002","2025-12-31","Gold prices remain elevated above 2025 record highs throughout 2026, sustained by persistent geopolitical uncertainty, central bank buying programs, and real-rate dynamics.","Markets","gold|central banks|inflation|real rates","★","through 2026","Open","","","https://fromtheledge.substack.com/p/2026-not-so-silly-predictions-pt","2026: Not-so-silly predictions, pt. II","","FALSE",""
"2026-003","2025-12-31","The Ukraine war settles into a frozen state — too costly to escalate to decisive victory, too politically risky to formally abandon for either side. No meaningful peace deal or substantial territorial change emerges in 2026.","Geopolitics","Ukraine|frozen conflict|Russia|peace","★★","through 2026","Open","","","https://fromtheledge.substack.com/p/2026-not-so-silly-predictions-pt","2026: Not-so-silly predictions, pt. II","","FALSE",""
"2026-004","2025-12-31","China does not launch a military invasion of Taiwan in 2026. Pressure without war remains Beijing's preferred posture — an invasion carries too great an economic cost and military risk given current PLA readiness assessments.","Geopolitics","Taiwan|China|invasion|PLA","—","through 2026","Open","","","https://fromtheledge.substack.com/p/2026-not-so-silly-predictions-pt","2026: Not-so-silly predictions, pt. II","","FALSE",""
"2026-005","2025-12-31","China makes measurable progress toward domestic EUV lithography capability within a 5–10 year horizon, gradually reducing the strategic leverage that Taiwan and ASML hold over Beijing's semiconductor ambitions.","Tech-AI","China|semiconductors|EUV|ASML|chips","★","5–10 year horizon (progress milestone by end-2026)","Open","","","https://fromtheledge.substack.com/p/2026-not-so-silly-predictions-pt","2026: Not-so-silly predictions, pt. II","","TRUE",""
"2026-006","2025-12-31","The EU does not implode despite historic right-wing electoral gains across France, Netherlands, Germany, and Poland. Economic hardship in the automotive and chemical sectors continues, but the institutional framework holds.","Politics-EU","EU|institutions|integrity|politics","—","through 2026","Open","","","https://fromtheledge.substack.com/p/2026-not-so-silly-predictions-pt","2026: Not-so-silly predictions, pt. II","","FALSE",""
"2026-007","2025-12-31","Japan experiences increased friction with China over Taiwan, the Senkaku Islands, and historical grievances. PM Takaichi's government fails to resolve Japan's structural demographic or monopoly market problems.","Geopolitics","Japan|China|Senkaku|Taiwan|Takaichi","★","through 2026","Open","","","https://fromtheledge.substack.com/p/2026-not-so-silly-predictions-pt","2026: Not-so-silly predictions, pt. II","","FALSE",""
"2026-008","2025-12-31","Despite inflated valuations and weak fundamental justifications for many AI companies, the bubble does not fully deflate in 2026. Momentum, capital inflows, and narrative power carry it further than fundamentals would suggest.","Tech-AI","AI|bubble|tech|valuations|US","—","through 2026","Open","","","https://fromtheledge.substack.com/p/2026-not-so-silly-predictions-pt","2026: Not-so-silly predictions, pt. II","","FALSE",""
"2026-009","2025-12-31","US labor market weakens materially in 2026 — rising credit delinquencies, unemployment creeping upward, 42M+ on food assistance. Private credit markets show first serious stress before public equity markets register cracks.","Macro","US|labor|unemployment|credit|private credit","★★","through 2026","Open","","","https://fromtheledge.substack.com/p/2026-not-so-silly-predictions-pt","2026: Not-so-silly predictions, pt. II","","TRUE",""
"2026-010","2026-01-26","PM Takaichi's unfunded investment spree would not cause a bond market crisis — the BoJ owns too much of the JGB market — but would instead trigger a full yen currency crisis. An MoF/BoJ FX intervention would spook global equity markets by forcing an unwind of the endemic yen carry trade, with serious collateral damage for PE funds invested in Japan.","Macro","Japan|yen|carry trade|Takaichi|BoJ|FX intervention","★★","within 12 months (from Jan 2026)","Open","","","https://www.linkedin.com/pulse/carry-japans-election-could-unwind-trade-christophe-van-eysendyck-aneqe/","Carry On? Japan's Election Could Unwind the Trade","","TRUE",""
